to delete,dup check,checked,Original Item,Original Proposed definition,Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,"Required (core, auto, or recommended)",Use-case scope (Condition),Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
,,x,Resolution information (quantitative),"Quantitative spatial, temporal, or measurement resolution of the data (e.g., pixel size / GSD, sampling interval). Ref: EML dataset/methods/sampling; schema.org sc:measurementTechnique.",Quantitative Resolution Metrics,"Dataset specifies quantitative spatial, temporal, radiometric, or spectral resolutions (e.g., GSD, sampling rate).","Precise numerical resolution metrics with standard physical units (e.g., 0.5 m GSD, 44.1 kHz, 15-min interval) are structured.","Resolution is described qualitatively (e.g., 'high resolution') without numerical values and units.",Quantitative resolution metrics are absent.,"Data have no continuous spatial, temporal, or spectral dimensions.",Reusable,Structural | Scientific,Source Data,methods,core,Sensor/instrument; Image/Audio/Video; Spatial/remote-sensing,event,dataset/methods/sampling,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


If this is to describe the original source of a (this) derived dataset, then the source identified in Provenance should have adequate metadata that shouldn't need to be repeated here."
,,x,Preparation,,Specimen and Sample Preparation,"Dataset documents physical sample preparation, preservation techniques, or laboratory extraction protocols.","Standardized laboratory and specimen preparation protocols (e.g., ethanol preservation, PCR protocol, pinning) are fully detailed.",Preparation methods are noted briefly without step-by-step protocols or standard methodology references.,Physical specimen or wet-lab extraction preparation steps are omitted.,Dataset involves in-situ digital sensors or non-invasive field observations with no physical sample processing.,Reusable,Scientific,Source Data,preparation,core,All use cases,dataset; event,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,[Claude Code inferred: items = Preparation (was blank)] [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
,,x,Data gridding,Data gridding refers to two entirely distinct concepts: geospatial/scientific interpolation (converting scattered measurements into continuous surfaces) and software engineering (using distributed systems or UI tables to process and display massive datasets),Spatial Gridding and Interpolation,"Dataset specifies spatial gridding algorithms, interpolation methods, coordinate projection, and cell dimension parameters.","Gridding method, projection system (CRS/EPSG), cell dimensions, and boundary interpolation algorithms are fully specified.","Gridded raster data is provided, but interpolation algorithm or CRS parameters are incompletely documented.",Spatial grid products provide no information on gridding methods or rasterization techniques.,"Dataset contains vector points, unstructured multimedia, or non-spatial tabular data.",Reusable,Structural | Scientific,Data Processing,Correction/standardization of values,core,Spatial/remote-sensing; gridded products,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,GM: it sounds like the first concept here fits within the gapfilling method category below 
,,x,Unit consistency,"Indicate whether data values are provided in community-accepted units for all variables, and whether these units are described in the metadata.",Standardized Measurement Units,"All quantitative variables have explicitly defined, community-standardized measurement units (e.g., SI units, UCUM).",Every numeric attribute is mapped to standardized unit symbols or UCUM codes across metadata and data files.,"Units are described in narrative text or column headers but use non-standard, ambiguous, or mixed abbreviations.","Quantitative attributes lack unit specifications, leaving numerical magnitudes ambiguous.","Dataset contains purely categorical, binary, or qualitative features with no physical measurements.",Interoperable | Reusable,Structural | Scientific,Data Processing,Correction/standardization of values,core,Tabular; quantitative measurements,occurrence,dataset/dataTable/attributeList/attribute/unit,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured/sc:unitCode,cr:field/cr:dataType,oos->EML,GM: See below. There is a redundant units category under Data Quality.
delete,dup sensitive data,x,Data anonymization,"For social science or human biological datasets, have the data been anonymized to remove any personally identifiable indicators? ",Sensitive Data Anonymization,"Dataset documents anonymization, spatial fuzzing, or redaction protocols applied to protect human subjects, endangered species, or other sensitive data types.","Protocols for spatial obfuscation of sensitive taxa, PII redaction, or other processes to deal with sensitive data are systematically documented and verified.","Anonymization is claimed, but specifics about masking algorithms, spatial jittering radii, redaction criteria, or other processes to deal with sensitive data are omitted.","Dataset contains unredacted sensitive identifiers, exact endangered species localities, or PII without governance.","Dataset contains no sensitive human subjects, proprietary land boundaries, or endangered/threatened taxa.",Reusable,Structural | Scientific,Data Processing,Correction/standardization of values,core,Human/sensitive data,occurrence,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",,,oos->extension,
,,need to review the does not meet and NA criteria,Null values/gaps have been filled,Indicate whether missing data values have been filled.,Missing Data Imputation Status,"Dataset metadata explicitly declares whether missing values, gaps, or dropouts have been imputed or left as nulls.",Metadata explicitly states gap status and provides indicator flags distinguishing imputed values from true raw observations.,"Gaps are filled in the data files, but imputed values are not flagged or distinguished from measured values.",Dataset contains filled or missing values with no declaration or documentation of missingness status.,Dataset has zero missing observations across the entire collection.,Reusable,Structural | Scientific,Data Processing,Gaps filled,core,Time-series; continuous/gridded,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"Sourced from the ESIP AI-readiness checklist, v1.0."
,,x,Gap-filling method is described,"If data are gapfilled, indicate the method used (interpolation, compositing, sensor substitution, model-based, etc.)",Gap-Filling Methodology,"Dataset documentation describes the mathematical, statistical, or machine learning methodology used for gap imputation.","Gap imputation algorithms (e.g., spline interpolation, Kalman filter, random forest) and error bounds are fully documented.","Gap filling is mentioned, but algorithm parameters, models, or validation benchmarks are omitted.","Imputed values are present in data files, but imputation methodology is completely undocumented.",No gap filling or value imputation was performed on the dataset.,Reusable,Structural | Scientific,Data Processing,Gaps filled,core,Time-series; continuous/gridded,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,
,,x,Labeling/re-labeling,"Indicate whether the data are labeled, and if so what features, entities, or concepts were labeled.",Annotation and Labeling Protocol,"Dataset documents target label taxonomy, annotation protocols, curator expertise, and quality control consensus methods.","Annotation guidelines, label ontologies, inter-annotator agreement metrics, and QA curation steps are thoroughly documented.","Labels are provided, but annotation guidelines, annotator qualifications, and consensus methods are omitted.",Labeled AI dataset provides no documentation on how annotations were assigned or verified.,"Dataset is purely unannotated, self-supervised, or unsupervised raw telemetry.",Reusable,Scientific | Provenance,Data Processing,Labeling/re-labeling,core,Supervised-ML; annotated/labeled data,occurrence; media-annotation,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,cr:RecordSet/cr:field,oos->EML,"GM: Someone with more knowledge of labeling for AI/ML should probably help with this definition.
Ex: Taxonomic labels were standardized using TaxonoPy to create an internally consistent taxonomy based on the source data labels"
,,x,Outlier removal,Indicate whether outliers have been removed from the data and how.,Outlier Detection and Filtering,"Dataset documents statistical criteria, automated algorithms, or manual rules used to detect and remove outliers.","Outlier detection rules (e.g., 3-sigma thresholds, isolation forests, ecological bounds) and filter counts are fully documented.","Outlier filtering is noted in text, but specific mathematical thresholds or discarded record volumes are omitted.","Outlier removal is evident or implied, but no detection criteria or filtering rationale are provided.",No outlier filtering was performed; raw observational distributions are retained unmodified.,Reusable,Structural | Scientific,Data Processing,Outlier removal,core,Tabular; quantitative measurements,occurrence,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,
keep,split dup,x,Splits,Are there train/val/test splits and how are they defined,Machine Learning Data Splits,"Dataset provides pre-partitioned train, validation, and test splits (or cross-validation folds) with explicit stratification protocols designed to prevent spatial, temporal, or taxonomic data leakage.","Pre-defined train/val/test splits (or fold assignments) are structured in dedicated columns/manifests, with documented partitioning logic (e.g., spatial blocking, site holdout, temporal cutoff) to prevent data leakage.","Splits are provided (e.g., a random 80/20 split), but partitioning logic is undocumented, fails to account for spatial/temporal clustering, or introduces risk of data leakage.","Dataset is structured for supervised or benchmarked AI tasks but provides no pre-defined splits, leaving evaluation partitions unstandardized.","Dataset is intended exclusively for unsupervised pre-training, descriptive statistical ecology, or exploratory analysis where formal evaluation splits do not apply.",,Structural | Scientific,Data Processing,Splits,core,Supervised-ML (train/val/test),media-annotation,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:hasPart,cr:RecordSet/cr:split,croissant-partial,
keep,completeness dup,x,Dataset is complete with all expected information,"Indicate whether the dataset is complete. If true, all expected values or observations are present. If false, new data will be added in the future.",Dataset Completeness Verification,"Dataset documentation provides a quantitative audit verifying that all planned sampling events, observation records, spatial grids, and media files are accounted for, with any missing data explicitly quantified.","A completeness audit is documented (e.g., planned vs. actual sensor runs, expected vs. present record counts), confirming 100% presence or explicitly cataloging and quantifying missing segments.","Data gaps or dropped sensor runs are acknowledged in narrative text, but missing records/files are not systematically quantified or inventoried.","Dataset contains unexplained data dropouts, truncated records, or missing files with no completeness audit or explanation.",Never NA (applies to all datasets).,Reusable,Structural | Scientific,Data Quality,Completeness,recommended,All use cases,dataset,dataset/maintenance,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,
,,revert to original item description? More understandable. ,Required quality checks have been completed,"Level of quality control applied to the dataset, as a categorical data-maturity scale (replaces the earlier ambiguous complete/incomplete boolean): 'raw' (no QA/QC applied), 'minimally-quality-controlled' (partial checks), or 'fully-quality-controlled' (complete QA/QC protocol applied). Ref: EML dataset/methods/qualityControl.",Quality Assurance Maturity Level,"Dataset specifies its Quality Assurance / Quality Control (QA/QC) maturity level (e.g., raw, automated QA, expert curated).",Standard QA/QC maturity tier is explicitly categorized with audit reports and automated validation pipeline outputs.,QA/QC is mentioned in general terms without explicit maturity tier categorization or inspection logs.,Dataset provides no QA/QC declaration or validation status.,Never NA (mandatory for evaluating scientific reliability).,Reusable,Structural,Data Quality,Completeness,core,All - esp. quality-controlled products,dataset,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,"GM: Ambiguous, perhaps this could be a categorical for ""raw"" data or ""quality-controlled"" data."
,,x,Controlled vocabulary,Indicate whether categorical variables are populated with terms from a controlled vocabulary.,Controlled Vocabulary Alignment,Categorical attributes and taxonomic descriptors adhere to standard controlled vocabularies and domain ontologies.,"All categorical variables are mapped to URI-backed controlled ontologies (e.g., Darwin Core, ENVO, Plant Ontology).","Controlled terms are used internally, but terms are not mapped to formal public ontology URIs or standard registries.","Freeform, unstandardized text strings and typos are used across categorical attributes.","Dataset contains no categorical, thematic, or taxonomic fields.",Interoperable,Structural,Data Quality,Consistency,recommended,All - esp. categorical/taxonomic data,occurrence,dataset/dataTable/attributeList/attribute/annotation,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:field/cr:isEnumeration,croissant-partial,Ex: taxonomy used
,,x,Peer review,Have the data been reviewed by a peer researcher or a data curator?,Peer Review and Expert Curation,Dataset metadata indicates whether the data payload and metadata have undergone formal peer review or expert editorial curation.,"Peer review status (e.g., journal data peer review, repository curator audit) is explicitly documented with review DOI/citation.","Internal team review was conducted, but independent peer review or repository curation audit is unverified.",Dataset has not undergone any documented peer review or external curation audit.,Dataset is an uncurated preliminary pre-release or streaming telemetry stream.,Reusable,Scientific | Provenance,Data Quality,Integrity,core,All - curated/published data,dataset,,"descriptions/description[@descriptionType=""Other""]",,,oos->EML,
keep,completeness dup,x,Timeliness of data is documented (update frequency),Frequency with which new data will be added.,Update Frequency and Cadence,"Dataset metadata explicitly declares the maintenance policy, versioning schedule, and expected frequency of future data releases or additions.","Maintenance schedule is declared using standardized terms/schema (e.g., ISO 19115 maintenance codes: continual, annually, asNeeded, or notPlanned / static snapshot).","Future update plans are mentioned vaguely in free text (e.g., 'new data will be added periodically') without formal frequency tags or versioning commitments.","No maintenance policy, update schedule, or static status declaration is provided.",Never NA (even static/completed datasets must declare their status as closed/static).,Reusable,Structural | Scientific,Data Quality,Timeliness,core,Time-series; versioned/streaming,dataset,dataset/maintenance,"dates/date[@dateType=""Updated""]",sc:temporalCoverage,sc:temporalCoverage,oos->EML,Would only apply if row 49 is True?
,,is the “meets” criteria too restrictive? Might be fine with biases acknowledged. Is it okay of metadata explicitly state “no known biases”?,Bias,"Known biases in how the data were selected or collected, provided as an ENUMERATED LIST (not free text): each entry gives a bias type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; structured-bias extension candidate.",Known Dataset Biases,"Dataset documentation provides an explicit analysis of known sampling, taxonomic, spatial, temporal, or detection biases.","Structured enumeration of known biases (e.g., geographic clustering, diurnal bias, species class imbalance) is documented.",Biases are acknowledged generally in narrative discussion without formal categorization or quantitative bounds.,No evaluation or disclosure of potential dataset biases is provided.,Never NA (mandatory for scientific and AI reliability).,Reusable,Scientific,Guidance & Recommendations,Bias,recommended,All use cases,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,"proposed definition generated by Claude


e.g., collection or selection bias"
,,revert to original item description? More understandable. ,Risks,"Known reuse risks that could lead to misguided conclusions, provided as an ENUMERATED LIST (not free text): each entry gives a risk type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; extension candidate.",Model Reuse Risks,Dataset documentation identifies specific risks and failure modes associated with downstream model deployment.,"Explicit list of model training risks (e.g., shortcut learning, domain shift, spurious background correlations) is documented.",Risks are mentioned tangentially without actionable guidance on preventing model failure modes.,Downstream model training risks and confounding factors are unaddressed.,Never NA (mandatory for AI readiness assessment).,Reusable,Scientific,Guidance & Recommendations,Bias,recommended,All use cases,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,"proposed definition generated by Claude


e.g., potential mislabeling; based on bias or limitations, where misguided conclusions may be drawn"
,,Is this described adequately? Should we allow NAs?,Limitations,"Known limitations of the dataset, provided as an ENUMERATED LIST (not free text): each entry gives a limitation type from the controlled vocabulary plus a severity. Ref: EML dataset/introduction; DataCite description[Other]; extension candidate.",Dataset Limitations,"Dataset documentation specifies operational, environmental, and analytical boundaries beyond which data are invalid.","Structured enumeration of environmental thresholds, sensor cutoffs, and analytical limitations is provided.",Limitations are discussed informally without clear operational boundaries or parameter thresholds.,No dataset limitations or analytical constraints are documented.,Never NA (applies to all datasets).,Reusable,Scientific,Guidance & Recommendations,Bias,recommended,All use cases,dataset,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,"proposed definition generated by Claude


e.g., lack of labeling in certain areas, information that is not collected"
,,mis meets to strict? Scoring descriptions need editing,Experimental origin of the data is documented,"Whether the data arose from a designed experiment (vs observational collection), which may drive selection bias. Ref: EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Study Design Typology,"Dataset metadata classifies the study design type, e.g., whether observations originate from manipulative experimental setups or observational field surveys, or some other study design type.","Study design type (e.g., randomized controlled experiment, observational census, opportunistic telemetry) is documented in structured metadata.",Study design is described in narrative methods but not classified into standardized experimental/observational categories.,Study origin and experimental status are unspecified.,Never NA (applies to all ecological datasets).,Reusable,Scientific,Guidance & Recommendations,Experimental Design,core,Experimental data,dataset,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


If selection/collection was driven by an experiment (this may drive selection bias or limitations)"
,,Should this be generalized to a “science design” field?,Experimental design is described (if experimental),"Description of the experimental design: treatments, controls, and units of observation. Ref: EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Experimental Factor Specification,"Dataset documentation details experimental factors, treatment levels, control structures, and replication design.","All treatments, control blocks, replication levels, and randomization procedures are systematically documented.","Treatments are named, but control baselines, blocking factors, or replication counts are incomplete.",Manipulative experimental dataset lacks detailed treatment definitions and design architecture.,"Dataset originates from non-manipulative, observational field surveys.",Reusable,Scientific,Guidance & Recommendations,Experimental Design,core,Experimental data,dataset,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"proposed definition generated by Claude


description of the experimental setup"
delete,scope dup,x,Supported ML tasks,"Machine Learning tasks to which the dataset is suited, drawn from the controlled vocabulary (e.g., species classification).",Supported AI/ML Tasks,Dataset documentation explicitly enumerates in-scope machine learning tasks supported by the data architecture.,"Supported ML tasks (e.g., species classification, object detection, acoustic localization) are mapped to standard ML task taxonomies.",General AI applications are suggested in text without formal ML task taxonomy mappings.,No supported machine learning tasks or problem formulations are documented.,Dataset is intended exclusively for traditional statistical modeling with no machine learning applicability.,,Structural | Scientific,Guidance & Recommendations,Usage Recommendations,recommended,Supervised-ML; all use cases,dataset,dataset/purpose,,,,croissant-partial,"e.g., species classification, HF tasks
These should probably be broken into two"
keep,scope dup,x,Benchmark / leaderboard results,Model evaluation results across tasks (leaderboard) reported for this dataset.,Baseline Model Benchmarks,"Dataset documentation reports baseline machine learning model performance metrics, standardized evaluation protocols, and reproducible benchmark scores for the documented tasks.","Quantitative performance metrics (e.g., F1-score, mAP, RMSE, top-1 accuracy) from baseline models are documented alongside reproducible evaluation code or exact model configuration details.","Benchmark performance is mentioned broadly or cited from an external paper without providing exact metric values, baseline configurations, or evaluation code.",Dataset is formatted for specific benchmark tasks but provides no baseline performance metrics or evaluation references.,Dataset is a foundational data release without established baseline model benchmarks.,,Structural | Scientific,Guidance & Recommendations,Usage Recommendations,recommended,Supervised-ML; all use cases,dataset,dataset/purpose,,,,croissant-partial,"e.g., species classification, HF tasks
These should probably be broken into two"
keep,scope dup,x,Usage guidelines - recommendations,"Recommended uses provided as a CONTROLLED-VOCABULARY list of in-scope ML tasks (see Supported ML Tasks vocabulary), not free text.",Recommended Use Guidelines,Dataset documentation provides prescriptive recommendations and best practices for optimal model training and ecological inference.,"Detailed usage guidelines specify input preprocessing, loss weighting, domain adaptation, and ecological interpretation rules.","General advice is offered, but actionable algorithmic recommendations and preprocessing guidance are lacking.",No usage recommendations or best-practice guidelines are provided.,Dataset is a raw reference archive with no domain-specific modeling recommendations.,Reusable,Structural | Scientific,Guidance & Recommendations,Usage Recommendations,recommended,All use cases,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,
keep,scope dup,x,AI/ML usage history,Record of prior AI/ML use of the dataset (models trained or benchmarked on it). Ref: schema.org sc:citation; DataCite relatedIdentifier[IsCitedBy].,AI Model Heritage and Precedent,"Dataset metadata tracks prior AI architectures, foundation models, or pre-training pipelines that have utilized the data.",Comprehensive inventory of prior models (with model weights/Hugging Face links) trained on the dataset is documented.,Prior model training is mentioned in narrative text without links to model checkpoints or model cards.,No record of prior AI/ML usage or model lineage is maintained.,Dataset has not previously been used to train or evaluate machine learning models.,Reusable,Scientific | Provenance,Guidance & Recommendations,Usage Recommendations,recommended,All use cases,dataset,,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",sc:citation,sc:citation,croissant-partial,"proposed definition generated by Claude


Could be what it's used for, e.g., side panel on TOL-200M linkage to models trained on the data"
keep,scope dup,x,Usage recommendations: out-of-scope,"Tasks this dataset should NOT be used for, provided as a CONTROLLED-VOCABULARY list of out-of-scope ML tasks (not free text).",Out-of-Scope Applications,"Dataset documentation explicitly defines prohibited, out-of-scope, or scientifically inappropriate AI applications.","Structured enumeration of out-of-scope tasks (e.g., individual animal re-identification, out-of-domain extrapolation) is documented.",Unsuitable uses are mentioned broadly in narrative warnings without explicit task exclusions.,No out-of-scope usage guidance or misuse warnings are provided.,Dataset is a raw reference archive with no domain-specific modeling recommendations.,Reusable,Scientific,Guidance & Recommendations,Usage Recommendations,recommended,All use cases,dataset,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",,,oos->extension,
,,x,Reporting issues,sc: discussionURL works with alternate contact email,Issue Reporting Channel,"Dataset provides an actionable communication channel or issue tracker for reporting data errors, label noise, or bugs.","A dedicated issue tracker URL (e.g., GitHub Issues, repository feedback portal) or curated contact endpoint is structured.",A generic institutional email is provided without a formal issue reporting channel or tracking protocol.,No mechanism or contact pathway exists for reporting dataset errors or quality issues.,Never NA (essential for community maintenance).,Reusable,Provenance,Guidance & Recommendations,Usage Recommendations,recommended,All use cases,dataset,,,sc:discussionUrl,sc:discussionUrl,croissant-partial,
,,x,Direct download,"Indicate whether or not file transfer is directly from a single web server to your local device. For instance, a direct download link begins file transfer immediately to local storage rather than opening or displaying a preview in a web browser.",Direct Download Access,"Dataset provides persistent, direct HTTP/HTTPS download endpoints bypassing interactive web forms or session cookies.","Direct, programmatic download URLs (e.g., wget/curl compatible endpoints) are provided in distribution metadata.","Data can be downloaded from a web browser, but links require interactive clicks or session-locked landing pages.",No direct or automated download mechanism is available.,Dataset requires strictly gated authorization due to severe legal/privacy constraints.,Accessible,Structural,Data Access,Delivery Options,core,All use cases,dataset,dataset/distribution/online/url,,sc:distribution,cr:FileObject/sc:contentUrl,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
,,x,API is available,Is there an applicaiton programming interface (API) available that provides a mechanism to enable two software components to communicate with each other.,Programmatic API Availability,"Dataset provides a dedicated Application Programming Interface (API) for automated, granular, or streaming queries.",A fully operational public or authenticated REST/GraphQL API is available for querying records and downloading subsets.,"An API exists, but suffers from frequent downtime, undocumented endpoints, or severely restricted access.",No API is available; data can only be retrieved via static bulk archives.,"Dataset is a static, small archive where API infrastructure is unnecessary.",Accessible,Structural,Data Access,Delivery Options,recommended,All use cases,dataset,dataset/distribution/online,,sc:distribution/sc:url,cr:FileObject/sc:contentUrl,oos->extension,
,,x,API type,"APIs are frequently characterized by their access scope (e.g., Public, Private, Partners - shared with partners with explicit access rights) and architecture (e.g., REST uses standard HTTP methods, GraphQL - a query langauage allows for requests of exact data needed).",API Architecture Specification,"Dataset documentation defines the architectural style and interface protocol of the API (e.g., REST, GraphQL, OGC WFS, STAC).","API architecture (e.g., OpenAPI 3.0, STAC, OGC API - Features) is explicitly declared in metadata.","API exists, but architectural type and protocol specifications are unstated.",API interface lacks architectural definition and protocol documentation.,No API is provided for the dataset.,Accessible,Structural,Data Access,Delivery Options,core,API/large-scale access,dataset,dataset/distribution/online,,sc:distribution/sc:url,cr:FileObject/sc:contentUrl,oos->extension,depends on yes to above
,,x,API reference/documentation,link to API documentation ,API Reference Documentation,"Dataset provides comprehensive, interactive documentation (e.g., Swagger/OpenAPI, Postman collection) for its API.","Complete OpenAPI/Swagger specifications, parameter documentation, and query examples are publicly accessible.","API documentation exists as static, incomplete text without parameter definitions or query examples.","API is accessible, but formal endpoint documentation is absent.",No API is provided for the dataset.,Accessible,Structural,Data Access,Delivery Options,core,API/large-scale access,dataset,,,sc:APIReference,,oos->extension,"Or does this come as property under WebAPI?
depends on yes to API available"
,,x,Rate limit,"Restriction on how many requests a user or system can repeat an action within a set timeframe (e.g., 100 API requests per minute). Rate limits present server overloads, block malicious bot attacks and web scraping, and ensure fair resource distribution.",API Rate Limiting Policy,"Dataset API documentation explicitly specifies rate limits, concurrency quotas, and request burst allowances.","Exact numeric rate limits (e.g., requests per minute, daily quotas) and response headers (e.g., Retry-After) are documented.","Rate limits are enforced, but specific quotas and throttling behaviors are not documented.","Rate limits are undocumented, causing unhandled HTTP 429 throttling errors in automated pipelines.","No API is provided, or API has no rate limits / operates on local offline instances.",Accessible,Structural,Data Access,Delivery Options,core,API/large-scale; agentic/streaming access,dataset,,,,,oos->extension,SR: This term needed further definition according to feedback doc
,,x,Cloud access,"Indicate whetherthe data stored on remote, internet-hosted servers rather than a local hard drive.",Cloud-Native Storage Access,"Dataset is hosted in cloud-native, object-based storage (e.g., AWS S3, Google Cloud Storage, Azure Blob) supporting direct read.",Public or requester-pays cloud object storage buckets (with S3/GCS URIs) support direct cloud computing access.,"Data is stored in cloud hosting, but requires downloading full archives rather than cloud-native streaming (e.g., Zarr, COG).",Dataset is only hosted on local on-premise servers with no cloud storage availability.,Dataset size is minimal and does not warrant cloud storage distribution.,Accessible,Structural,Data Access,Delivery Options,core,Large-scale; cloud-hosted,dataset,dataset/distribution/online/url,,sc:distribution/sc:contentUrl,cr:FileObject/sc:contentUrl,croissant-native,
,,x,Machine-readable format,"Indicate whether or not the data are structured so that computers can automatically process, extract, and analyze it without human intervention.",Machine-Readable Serialization,"Dataset is serialized in structured, machine-parseable data formats rather than presentation-focused layouts.","All tabular, tensor, and spatial data are serialized in machine-readable formats (e.g., Parquet, Feather, JSON, HDF5).","Data is structured, but provided in presentation formats (e.g., styled Excel tables, PDFs) requiring OCR or manual parsing.",Data is distributed exclusively as unstructured images of tables or unstructured text dumps.,Never NA (core requirement for AI readiness).,Interoperable | Accessible,Structural,Data Access,"Format accessibility (open, proprietary, etc.)",recommended,All use cases,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,
,,x,Open format,Indicate whether or not the file format one that can be used and implemented by anyone without requiring proprietary software.,Open and Non-Proprietary Formats,"Dataset is distributed in open, non-proprietary formats that do not require licensed commercial software to read.","All files adhere to open community standards (e.g., CSV, GeoTIFF, netCDF, JSON, PNG, Parquet).","Primary data is open, but accompanying models or metadata require proprietary commercial extensions (e.g., ESRI GDB, MAT-files).","Data files are packaged exclusively in closed, proprietary software formats.",Never NA (applies to all datasets).,Accessible | Interoperable,Structural | Provenance,Data Access,"Format accessibility (open, proprietary, etc.)",recommended,All use cases,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,
,,is this necessary? Maybe reword to multiformat is documented?,Multiple formats,Indicate whether or not there are multiple file formats for the dataset.,Multi-Format Distribution,"Dataset provides alternative distribution formats optimized for diverse use cases (e.g., CSV for inspection, Parquet/Zarr for AI).","Dataset is published in multiple complementary formats (e.g., human-readable CSV and high-performance Parquet/Zarr).","Dataset is available in only a single format, but the format is widely supported.",Dataset is restricted to a single rigid format that limits either human inspection or AI ingestion.,"Dataset represents specialized binary media (e.g., raw video) where a single standard container is standard.",Accessible,Structural,Data Access,"Format accessibility (open, proprietary, etc.)",recommended,All use cases,dataset,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution,cr:FileObject/sc:encodingFormat,croissant-native,
,,x,License,sc:license works,Dataset License Specification,"Dataset metadata explicitly defines legal terms of use, redistribution rights, and licensing terms.","A clear, legally valid license (e.g., CC-BY-4.0, CC0, ODC-By) is formally declared in metadata.",Licensing terms are mentioned in an informal text statement without referencing a standard formal license.,"No license or terms of use are specified, leaving legal reuse status ambiguous.",Never NA (mandatory for open data and AI pipelines).,Accessible | Reusable,Provenance,Data Access,License/ Usage Rights,core,All use cases,dataset,dataset/licensed,rightsList/rights,sc:license,sc:license,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
,,x,License is standardized/machine-readable,Indicate whether or not the license can be read by a computer without any human intervention.,Standardized Machine-Readable License,"Dataset license is expressed via standardized, machine-readable identifier schemes (e.g., SPDX identifier, Creative Commons URI).","License is encoded using an official SPDX identifier (e.g., 'CC-BY-4.0') or canonical license URI.","Standard license is named, but machine-readable SPDX identifier or schema.org license URI is omitted.","License is a custom, bespoke legal text that cannot be parsed by automated license scrapers.",Never NA (applies to all licensed datasets).,Accessible | Reusable,Structural | Provenance,Data Access,License/ Usage Rights,recommended,All use cases,dataset,dataset/licensed/[url | identifier],"rightsList/rights[@rightsIdentifierScheme=""SPDX""]",sc:license,sc:license,croissant-partial,Because sometimes there is a bespoke license...
