Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
Physical Voucher Deposition and Identifiers,"For specimen-derived datasets, metadata links observation records to permanently curated physical vouchers in recognized biorepositories, museums, or herbaria using standardized catalog identifiers.","Physical vouchers are linked to recognized biorepositories, e.g., using standard Darwin Core identifiers (dwc:institutionCode, dwc:collectionCode, dwc:catalogNumber, or persistent specimen URIs) with accessible collection repository information.","Holding institution or herbarium is named in free text, but specific specimen catalog numbers, collection codes, or individual voucher identifiers are missing.","Digital dataset is derived from physical specimens, but provides no repository links, accession numbers, or physical voucher catalog identifiers.","Dataset originates from non-invasive digital sensors (e.g., camera traps, acoustic recorders, satellites) or observational field surveys where no physical voucher specimens were collected.",Findable | Reusable,Provenance | Scientific,Source Data,Specimen Vouchers,dataset/associatedParty;dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDocumentedBy""]",sc:identifier,cr:field/cr:source,oos->extension,
Parent Observatory and Program Membership,"Dataset metadata defines formal membership in an umbrella observatory network, long-term monitoring program, or standardized dataset series.","Parent observatory, research network, or formal dataset series (e.g., NEON, LTER, GBIF network) is structured using persistent collection/project identifiers (isPartOf, dataset/project).",Parent research program or network is mentioned in acknowledgements or text without structured series/collection metadata.,"Dataset belongs to an established long-term observatory or multi-dataset program, but parent membership is omitted.","Dataset originates from an independent, standalone project unaffiliated with an umbrella program or dataset series.",Findable,Scientific | Provenance,Source Data,Collection,dataset/project;dataset/series,"relatedIdentifiers/relatedIdentifier[@relationType=""IsPartOf""]",sc:isPartOf,sc:isPartOf,croissant-native,"Ex: KABR or SmartWilds datasets; multiple datasets part of the same or related collection effort, designed to be complementary/combined"
Standardized File Formats,"Dataset files are distributed in standard, well-documented file formats with explicit MIME/media types specified in metadata.","All files use standard formats (e.g., CSV, Parquet, GeoTIFF, WebP) with explicit MIME types defined in distribution metadata.",Files use recognizable extensions but MIME types are omitted or inconsistent across archives.,"Files use obscure, non-standard, or unidentifiable file formats without type documentation.",Never NA (mandatory for all datasets).,Interoperable | Accessible,Structural,Data Structure,Data Format,dataset/[entityType]/physical/distribution/dataFormat,formats/format,sc:distribution/sc:encodingFormat,cr:FileObject/sc:encodingFormat,croissant-native,[Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
Dataset Directory Structure,"Dataset provides documentation of its internal directory hierarchy, archive layout, and file organization.",A clear visual file tree or explicit structural diagram documents the organizational schema of directories and files.,Directory structure is briefly described in text but lacks a comprehensive file tree or layout schematic.,"Files are distributed in an undocumented, unstructured flat or arbitrary folder hierarchy.",Dataset consists of a single monolithic file requiring no directory hierarchy documentation.,Interoperable,Structural,Data Structure,Data Format,dataset/[entityType]/physical,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:encodingFormat,cr:RecordSet,croissant-native,
File Instance Inventory,"Dataset metadata includes an itemized inventory describing the contents, record counts, and roles of individual files or shards.","Every data file/shard is documented with record counts, byte sizes, and explicit content descriptions in metadata.","File descriptions exist for main data tables, but shards, ancillary files, or split partitions are omitted.",Individual files and shards lack itemized descriptions or content inventories.,Dataset is composed of a single self-describing data file.,Interoperable,Structural,Data Structure,Data Format,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:FileObject; cr:FileSet,croissant-native,SR: I had trouble finding a good match for this one
Relational Data Architecture,"Dataset documentation defines relational schemas, primary/foreign keys, and linkages between multiple tables or modalities.","All table linkages, foreign key relations, and cross-modal mappings (e.g., image IDs to tabular rows) are formally defined.",Relational connections exist implicitly in column headers but lack formal schema documentation.,Multi-table or multi-modal datasets provide no guidance on how files and entities interconnect.,Dataset is a single flat table or single-modality file with no relational dependencies.,Interoperable,Structural,Data Structure,Data Organization,dataset/[entityType],"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution,cr:RecordSet; cr:FileObject; cr:FileSet,croissant-native,"Potential duplicate of dataset structure/format

proposed definition generated by Claude"
Data Dictionary and Codebook,"Dataset provides a comprehensive data dictionary defining all variables, column headers, data types, valid ranges, and units.","Machine-readable codebook/schema (e.g., Croissant RecordSet, EML attributeList) specifies every variable name, type, unit, and definition.",Data dictionary exists as an unstructured text/PDF document without machine-actionable column metadata.,"Variables and columns lack definitions, valid ranges, or explicit type documentation.",Dataset contains only unstructured binary media with no tabular metadata or records.,Interoperable | Reusable,Structural | Scientific,General Information,Ontology,dataset/dataTable/attributeList,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,proposed definition generated by Claude [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]
Feature Attribute Specification,"Dataset metadata specifies individual feature attributes, measurement variables, and target columns.","Every variable/column is documented with explicit feature semantics, domain definitions, and observational contexts.","Primary features are described, but auxiliary features, flags, or engineered columns are omitted.",Feature attributes and columns are unlisted or unexplained.,Dataset consists solely of unannotated raw media files.,Interoperable,Structural | Scientific,Data Structure,Features,dataset/[entityType]/attributeList/attribute,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:RecordSet/cr:field,croissant-native,"e.g., metadata columns (taxonomy, age, location, etc.) [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]"
Standardized Measurement Units,"All quantitative variables have explicitly defined, community-standardized measurement units (e.g., SI units, UCUM).",Every numeric attribute is mapped to standardized unit symbols or UCUM codes across metadata and data files.,"Units are described in narrative text or column headers but use non-standard, ambiguous, or mixed abbreviations.","Quantitative attributes lack unit specifications, leaving numerical magnitudes ambiguous.","Dataset contains purely categorical, binary, or qualitative features with no physical measurements.",Interoperable | Reusable,Structural | Scientific,Data Processing,Correction & Standardization,dataset/dataTable/attributeList/attribute/unit,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured/sc:unitCode,cr:field/cr:dataType,oos->EML,GM: See below. There is a redundant units category under Data Quality.
Natural Language Specification,Dataset metadata specifies the natural language(s) of textual features and annotations using standard language tags.,"Language is explicitly defined using standard BCP 47 or ISO 639-1 language codes (e.g., 'en-US', 'es').",Language is indicated in unstructured narrative text without standard ISO/BCP language codes.,"Textual data or annotations are present, but language metadata is absent.","Dataset contains no textual features, captions, or natural language attributes.",Interoperable,Structural,General Information,Data Description,dataset/language,language,sc:inLanguage,sc:inLanguage,croissant-native,Sourced from the Imageomics dataset card checklist.
Technical and Storage Specifications,"Dataset metadata details technical storage specifications, including total compressed archive size, uncompressed on-disk footprint, total file/record counts, and memory (RAM) requirements.","Exact byte sizes (compressed and uncompressed), total record/file counts, and hardware memory requirements are documented in structured metadata fields.","Approximate total file size is noted informally (e.g., in a README), but uncompressed dimensions, record counts, or memory requirements are omitted.","No file size, file count, or storage specifications are provided.",Never NA (mandatory baseline structural metadata for all datasets).,Interoperable,Structural,Data Structure,Technical Specs,dataset/[entityType]/physical/size,sizes/size,sc:distribution/sc:contentSize,cr:FileObject/sc:contentSize,croissant-native,
Machine Ingestion Readiness,Dataset structural packaging conforms to standardized specifications enabling automated programmatic ingestion.,"Dataset adheres strictly to machine-actionable data contracts (e.g., Croissant, Frictionless) with zero ingestion errors.","Dataset can be loaded programmatically but requires manual structural fixes, header curation, or file renaming.",Dataset cannot be parsed or ingested by standard data loaders without custom script engineering.,Never NA (applies to all AI-pipeline datasets).,Interoperable,Structural,General Information,Data Description,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:conformsTo,cr:conformsTo,croissant-native,"SR: this term was flagged as ambiguous in the feedback document
EC: this requires discussion: do we want to include, and if so, how do we answer this? the Croissant ""conformsTo"" would seem to be usable for saying it follows our standard, so perhaps we could define a measure of compliance, but we'd want it to be pretty intuitive. We've discussed ""machine ready"" or AI-Ready as being ready to insert directly to an ML pipeline, but needs are still use-case specific. 
ES: should we make an additional field for ML use case or pipeline that the dataset is ""ready"" for?

Sourced from the Imageomics dataset card checklist and the ESIP AI-readiness checklist, v1.0."
Curation and Filtering Rationale,"Dataset documentation describes the criteria, thresholds, and rationale used to curate, filter, or subsample the data.","Explicit curation rationale, filtering thresholds, quality gates, and exclusion criteria are systematically documented.",Curation rationale is mentioned broadly without specifying exact filtering thresholds or selection parameters.,Data curation and inclusion/exclusion decisions are undocumented.,"Dataset represents a raw, uncurated, unfiltered census or sensor dump.",Reusable,Scientific | Provenance,Source Data,Collection,dataset/purpose,"descriptions/description[@descriptionType=""Abstract""]",sc:description,sc:description,oos->EML,
Outlier Detection and Filtering,"Dataset documents statistical criteria, automated algorithms, or manual rules used to detect and remove outliers.","Outlier detection rules (e.g., 3-sigma thresholds, isolation forests, ecological bounds) and filter counts are fully documented.","Outlier filtering is noted in text, but specific mathematical thresholds or discarded record volumes are omitted.","Outlier removal is evident or implied, but no detection criteria or filtering rationale are provided.",No outlier filtering was performed; raw observational distributions are retained unmodified.,Reusable,Structural | Scientific,Data Processing,Outlier Removal,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,
Spatial Gridding and Interpolation,"Dataset specifies spatial gridding algorithms, interpolation methods, coordinate projection, and cell dimension parameters.","Gridding method, projection system (CRS/EPSG), cell dimensions, and boundary interpolation algorithms are fully specified.","Gridded raster data is provided, but interpolation algorithm or CRS parameters are incompletely documented.",Spatial grid products provide no information on gridding methods or rasterization techniques.,"Dataset contains vector points, unstructured multimedia, or non-spatial tabular data.",Reusable,Structural | Scientific,Data Processing,Correction & Standardization,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,GM: it sounds like the first concept here fits within the gapfilling method category below 
Missing Data Imputation Status,"Dataset metadata explicitly declares whether missing values, gaps, or dropouts have been imputed or left as nulls.",Metadata explicitly states gap status and provides indicator flags distinguishing imputed values from true raw observations.,"Gaps are filled in the data files, but imputed values are not flagged or distinguished from measured values.",Dataset contains filled or missing values with no declaration or documentation of missingness status.,Dataset has zero missing observations across the entire collection.,Reusable,Structural | Scientific,Data Processing,Gaps Filled,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"Sourced from the ESIP AI-readiness checklist, v1.0."
Gap-Filling Methodology,"Dataset documentation describes the mathematical, statistical, or machine learning methodology used for gap imputation.","Gap imputation algorithms (e.g., spline interpolation, Kalman filter, random forest) and error bounds are fully documented.","Gap filling is mentioned, but algorithm parameters, models, or validation benchmarks are omitted.","Imputed values are present in data files, but imputation methodology is completely undocumented.",No gap filling or value imputation was performed on the dataset.,Reusable,Structural | Scientific,Data Processing,Gaps Filled,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,
Annotation and Labeling Protocol,"Dataset documents target label taxonomy, annotation protocols, curator expertise, and quality control consensus methods.","Annotation guidelines, label ontologies, inter-annotator agreement metrics, and QA curation steps are thoroughly documented.","Labels are provided, but annotation guidelines, annotator qualifications, and consensus methods are omitted.",Labeled AI dataset provides no documentation on how annotations were assigned or verified.,"Dataset is purely unannotated, self-supervised, or unsupervised raw telemetry.",Reusable,Scientific | Provenance,Data Processing,Labeling & Annotation,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,cr:RecordSet/cr:field,oos->EML,"GM: Someone with more knowledge of labeling for AI/ML should probably help with this definition.
Ex: Taxonomic labels were standardized using TaxonoPy to create an internally consistent taxonomy based on the source data labels"
Machine Learning Data Splits,"Dataset provides pre-partitioned train, validation, and test splits (or cross-validation folds) with explicit stratification protocols designed to prevent spatial, temporal, or taxonomic data leakage.","Pre-defined train/val/test splits (or fold assignments) are structured in dedicated columns/manifests, with documented partitioning logic (e.g., spatial blocking, site holdout, temporal cutoff) to prevent data leakage.","Splits are provided (e.g., a random 80/20 split), but partitioning logic is undocumented, fails to account for spatial/temporal clustering, or introduces risk of data leakage.","Dataset is structured for supervised or benchmarked AI tasks but provides no pre-defined splits, leaving evaluation partitions unstandardized.","Dataset is intended exclusively for unsupervised pre-training, descriptive statistical ecology, or exploratory analysis where formal evaluation splits do not apply.",Interoperable | Reusable,Structural | Scientific,Data Processing,Splits,dataset/methods/sampling,"descriptions/description[@descriptionType=""Methods""]",sc:hasPart,cr:RecordSet/cr:split,croissant-native,
Dataset Completeness Verification,"Dataset documentation provides a quantitative audit verifying that all planned sampling events, observation records, spatial grids, and media files are accounted for, with any missing data explicitly quantified.","A completeness audit is documented (e.g., planned vs. actual sensor runs, expected vs. present record counts), confirming 100% presence or explicitly cataloging and quantifying missing segments.","Data gaps or dropped sensor runs are acknowledged in narrative text, but missing records/files are not systematically quantified or inventoried.","Dataset contains unexplained data dropouts, truncated records, or missing files with no completeness audit or explanation.",Never NA (applies to all datasets).,Reusable,Structural | Scientific,Data Quality,Completeness,dataset/maintenance,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->EML,
Quality Assurance Maturity Level,"Dataset specifies its Quality Assurance / Quality Control (QA/QC) maturity level (e.g., raw, automated QA, expert curated).",Standard QA/QC maturity tier is explicitly categorized with audit reports and automated validation pipeline outputs.,QA/QC is mentioned in general terms without explicit maturity tier categorization or inspection logs.,Dataset provides no QA/QC declaration or validation status.,Never NA (mandatory for evaluating scientific reliability).,Reusable,Structural,Data Quality,Completeness,dataset/methods/qualityControl,"descriptions/description[@descriptionType=""Other""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,"GM: Ambiguous, perhaps this could be a categorical for ""raw"" data or ""quality-controlled"" data."
Controlled Vocabulary Alignment,Categorical attributes and taxonomic descriptors adhere to standard controlled vocabularies and domain ontologies.,"All categorical variables are mapped to URI-backed controlled ontologies (e.g., Darwin Core, ENVO, Plant Ontology).","Controlled terms are used internally, but terms are not mapped to formal public ontology URIs or standard registries.","Freeform, unstandardized text strings and typos are used across categorical attributes.","Dataset contains no categorical, thematic, or taxonomic fields.",Interoperable,Structural,Data Quality,Consistency,dataset/dataTable/attributeList/attribute/annotation,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:variableMeasured,cr:field/cr:isEnumeration,croissant-native,Ex: taxonomy used
Peer Review and Expert Curation,Dataset metadata indicates whether the data payload and metadata have undergone formal peer review or expert editorial curation.,"Peer review status (e.g., journal data peer review, repository curator audit) is explicitly documented with review DOI/citation.","Internal team review was conducted, but independent peer review or repository curation audit is unverified.",Dataset has not undergone any documented peer review or external curation audit.,Dataset is an uncurated preliminary pre-release or streaming telemetry stream.,Reusable,Scientific | Provenance,Data Quality,Integrity,dataset/project,"descriptions/description[@descriptionType=""Other""]",sc:review,sc:review,oos->EML,
Update Frequency and Cadence,"Dataset metadata explicitly declares the maintenance policy, versioning schedule, and expected frequency of future data releases or additions.","Maintenance schedule is declared using standardized terms/schema (e.g., ISO 19115 maintenance codes: continual, annually, asNeeded, or notPlanned / static snapshot).","Future update plans are mentioned vaguely in free text (e.g., 'new data will be added periodically') without formal frequency tags or versioning commitments.","No maintenance policy, update schedule, or static status declaration is provided.",Never NA (even static/completed datasets must declare their status as closed/static).,Reusable,Structural | Scientific,Data Quality,Timeliness,dataset/maintenance,"dates/date[@dateType=""Updated""]",sc:temporalCoverage,sc:temporalCoverage,oos->EML,Would only apply if row 49 is True?
Dataset Integrity Checksums,"Dataset metadata provides cryptographic checksums (e.g., SHA-256, MD5) for all downloadable data files and media archives.",Cryptographic checksums (SHA-256) are structured in metadata for every distributed file and archive partition.,"Checksums are provided for the master archive only, but individual media files or shards lack hashes.",No cryptographic checksums or file hashes are provided for data integrity verification.,Never NA (essential for verifying data transmission integrity).,Reusable,Structural | Provenance,Provenance,Identifier,dataset/[entityType]/physical/authentication,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:sha256,cr:FileObject/sc:sha256,croissant-native,
Source Data Producer Attribution,"Derived or compiled datasets explicitly attribute all upstream data collector institutions, observatories, and producers.",All upstream data producers and institutions are structured with formal citations and organizational PIDs (ROR IDs).,Upstream producers are listed by acronym or informal text without institutional PIDs or full attribution.,Derived dataset fails to attribute the original source data collectors and producers.,Dataset is primary data collected directly by the authoring team.,Reusable,Provenance,Provenance,Derived Dataset,dataset/methods/methodStep/dataSource/creator,"contributors/contributor[@contributorType=""DataCollector""]",sc:isBasedOn/sc:creator,cr:source,croissant-native,"proposed definition generated by Claude


Who made the original dataset(s)"
Upstream Source Attribution and DOIs,Derived or compiled datasets explicitly enumerate and cite all constituent source datasets using formal bibliographic references and persistent identifiers (DOIs/PIDs).,"All constituent source datasets are cited with formal bibliographic metadata and resolvable DOIs/PIDs via structured schema relations (e.g., isDerivedFrom, isBasedOn).",Upstream sources are named in narrative text or listed with generic URLs without formal citations or persistent identifiers.,"Derived dataset incorporates external data sources without acknowledging, citing, or linking constituent sources.",Dataset consists exclusively of primary raw observations collected directly by the authoring team.,Findable | Reusable,Provenance,Source Data,Collection,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-native,GM: I believe this would be provided in the Provenance DOI item
Source Data Cryptographic Checksums,"Derived datasets provide cryptographic checksums (e.g., SHA-256) of raw source archives to verify provenance integrity.",Cryptographic hashes (SHA-256 or MD5) for all upstream source archives are recorded in provenance metadata.,"Source file sizes are recorded, but cryptographic hash checksums are omitted.",No checksums or cryptographic verification records are provided for source data.,"Dataset is primary raw data, or source data were acquired via streaming/dynamic API queries.",Reusable,Structural | Provenance,Provenance,Derived Dataset,dataset/[entityType]/physical/authentication,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:distribution/sc:sha256,cr:FileObject/sc:sha256,croissant-native,Could be full zip/package or constituent pieces
Data Provenance Traceability,Dataset documentation tracks complete provenance history and data processing transformation graphs.,"Complete provenance trace (inputs, software versions, transformations, timestamps) is documented in PROV-O or W3C standards.","General processing narrative is described, but explicit intermediate artifact tracking or PROV graph is lacking.",Dataset provides no provenance tracking or history of data transformations.,"Dataset represents primary, unmanipulated raw sensor or field observations.",Reusable | Findable,Provenance,Provenance,Derived Dataset,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-native,"proposed definition generated by Claude


link(s) to source dataset(s) from which this one is derived
Getting at the traceability checkbox"
Processing Environment and Software,"Dataset documentation specifies exact software environments, library versions, and processing platforms used to prepare data.","Complete software manifests (e.g., Python/R environments, Docker container tags, exact library versions) are documented.","Software tools are mentioned (e.g., 'processed in R') without exact package versions, Dockerfiles, or environment specs.",Data processing software and computing environment are undocumented.,"Raw, unmanipulated field observations requiring no computational processing.",Reusable,Structural | Provenance,Provenance,Processing Platform & Software,dataset/methods/methodStep/software,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,[Claude Code inferred: items = Processing platform/software (was blank)]
Source Lineage Traceability,"Dataset metadata establishes an unbroken, machine-actionable provenance graph linking derived data products to raw inputs through recorded transformation steps.","Complete provenance graph is structured in machine-actionable standards (e.g., W3C PROV-O, Croissant cr:source) linking inputs, scripts, and output artifacts.","General processing pipeline is described in narrative text, but machine-actionable entity-activity-agent provenance links are missing.",Upstream processing transformations and origin lineage are undocumented or unverified.,Dataset consists solely of primary raw field observations requiring no upstream data transformation.,Findable | Reusable,Provenance,General Information,Data Description,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-native,"proposed definition generated by Claude

Based on provenance category being sufficiently filled"
Data Custody and Storage Provenance,"Dataset metadata documents the origin storage point of the generated data, its custodial history, its movement across systems or repositories, and its current jurisdictional/cloud storage locations.","Complete chain of custody is structured, documenting the initial point of data generation/storage, subsequent repository migrations or custodial transfers, and the physical/cloud storage sovereign jurisdictions.","Current repository location is known, but historical data movement, previous institutional custodians, or sovereign hosting jurisdictions are undocumented.","Origin storage location, custodial transfer history, and sovereign data hosting jurisdictions are completely unrecorded.","Dataset was generated, deposited, and hosted entirely within a single primary open repository with no prior movements, third-party custody, or sovereign storage constraints.",Reusable | Accessible,Provenance | Governance,Provenance,Data Custody & CARE Provenance,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Other""]",sc:spatialCoverage,sc:provider,oos->extension,"From IEEE CARE: The origin point of already generated data and details about its movement and location of storage
over time."
Documented Task Readiness,"Dataset documentation explicitly enumerates the specific computational, analytical, or machine learning tasks (e.g., Species Distribution Modeling, object detection, bioacoustic classification) for which the dataset is structured, formatted, and verified, mapped to standard ML task taxonomies where applicable.","One or more concrete, machine-ready tasks are explicitly declared and mapped to standard task terms/taxonomies (e.g., Hugging Face task types, Croissant task schema), with clear designation of input features and target output variables.","Potential tasks are described informally in narrative text (e.g., ""suitable for machine learning classification"") without standardized task taxonomy mappings or explicit input-target specifications.","No computational tasks, modeling targets, or intended analytical workflows are documented.",Dataset is released strictly as an uncurated raw archive with no pre-configured or verified computational tasks.,Interoperable | Reusable,Structural | Scientific,General Information,Data Description,dataset/purpose,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:educationalUse,cr:RecordSet,croissant-native,"i.e., what was this dataset engineered to do? E.g., test-train split for training a computer vision species identification model. The data could be used for something else, but this is what the data were assembled for.
Ex: Image Classification on list of columns"
Baseline Model Benchmarks,"Dataset documentation reports baseline machine learning model performance metrics, standardized evaluation protocols, and reproducible benchmark scores for the documented tasks.","Quantitative performance metrics (e.g., F1-score, mAP, RMSE, top-1 accuracy) from baseline models are documented alongside reproducible evaluation code or exact model configuration details.","Benchmark performance is mentioned broadly or cited from an external paper without providing exact metric values, baseline configurations, or evaluation code.",Dataset is formatted for specific benchmark tasks but provides no baseline performance metrics or evaluation references.,Dataset is a foundational data release without established baseline model benchmarks.,Reusable,Structural | Scientific,Guidance and Recommendations,Usage Recommendations,dataset/purpose,"descriptions/description[@descriptionType=""TechnicalInfo""]",sc:workExample,sc:workExample,croissant-partial,"e.g., species classification, HF tasks
These should probably be broken into two"
Recommended Use Guidelines,Dataset documentation provides prescriptive recommendations and best practices for optimal model training and ecological inference.,"Detailed usage guidelines specify input preprocessing, loss weighting, domain adaptation, and ecological interpretation rules.","General advice is offered, but actionable algorithmic recommendations and preprocessing guidance are lacking.",No usage recommendations or best-practice guidelines are provided.,Dataset is a raw reference archive with no domain-specific modeling recommendations.,Reusable,Structural | Scientific,Guidance and Recommendations,Usage Recommendations,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->extension,
Example Code,"Dataset provides runnable code snippets or quickstart instructions demonstrating programmatic data access, loading, and batch processing.","Directly executable code examples (e.g., Python/R scripts, Jupyter notebooks, Hugging Face load_dataset snippet) are provided.","High-level pseudocode or brief instructions exist, but lack complete executable code or dependency requirements.","No example code, loading scripts, or programmatic usage examples are provided.",Dataset requires no programmatic loading scripts (standard single CSV with trivial parsing).,Reusable | Accessible,Structural,General Information,References,dataset/methods/methodStep/software,"relatedIdentifiers/relatedIdentifier[@relationType=""IsSupplementedBy""]",sc:workExample,sc:workExample,croissant-partial,"proposed definition generated by Claude

Could be install, access, on HF often `load_dataset`, but may be a data transformation"
Known Dataset Biases,"Dataset documentation provides an explicit analysis of known sampling, taxonomic, spatial, temporal, or detection biases.","Structured enumeration of known biases (e.g., geographic clustering, diurnal bias, species class imbalance) is documented.",Biases are acknowledged generally in narrative discussion without formal categorization or quantitative bounds.,No evaluation or disclosure of potential dataset biases is provided.,Never NA (mandatory for scientific and AI reliability).,Reusable,Scientific,Guidance and Recommendations,Bias,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->extension,"proposed definition generated by Claude


e.g., collection or selection bias"
Model Reuse Risks,Dataset documentation identifies specific risks and failure modes associated with downstream model deployment.,"Explicit list of model training risks (e.g., shortcut learning, domain shift, spurious background correlations) is documented.",Risks are mentioned tangentially without actionable guidance on preventing model failure modes.,Downstream model training risks and confounding factors are unaddressed.,Never NA (mandatory for AI readiness assessment).,Reusable,Scientific,Guidance and Recommendations,Bias,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->extension,"proposed definition generated by Claude


e.g., potential mislabeling; based on bias or limitations, where misguided conclusions may be drawn"
Dataset Limitations,"Dataset documentation specifies operational, environmental, and analytical boundaries beyond which data are invalid.","Structured enumeration of environmental thresholds, sensor cutoffs, and analytical limitations is provided.",Limitations are discussed informally without clear operational boundaries or parameter thresholds.,No dataset limitations or analytical constraints are documented.,Never NA (applies to all datasets).,Reusable,Scientific,Guidance and Recommendations,Bias,dataset/introduction,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->extension,"proposed definition generated by Claude


e.g., lack of labeling in certain areas, information that is not collected"
AI Model Heritage and Precedent,"Dataset metadata tracks prior AI architectures, foundation models, or pre-training pipelines that have utilized the data.",Comprehensive inventory of prior models (with model weights/Hugging Face links) trained on the dataset is documented.,Prior model training is mentioned in narrative text without links to model checkpoints or model cards.,No record of prior AI/ML usage or model lineage is maintained.,Dataset has not previously been used to train or evaluate machine learning models.,Reusable,Scientific | Provenance,Guidance and Recommendations,Usage Recommendations,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",sc:citation,sc:citation,croissant-partial,"proposed definition generated by Claude


Could be what it's used for, e.g., side panel on TOL-200M linkage to models trained on the data"
Out-of-Scope Applications,"Dataset documentation explicitly defines prohibited, out-of-scope, or scientifically inappropriate AI applications.","Structured enumeration of out-of-scope tasks (e.g., individual animal re-identification, out-of-domain extrapolation) is documented.",Unsuitable uses are mentioned broadly in narrative warnings without explicit task exclusions.,No out-of-scope usage guidance or misuse warnings are provided.,Dataset is a raw reference archive with no domain-specific modeling recommendations.,Reusable,Scientific,Guidance and Recommendations,Usage Recommendations,dataset/purpose,"descriptions/description[@descriptionType=""Other""]",sc:description,sc:description,oos->extension,
Companion and Peer Dataset Linkages,"Dataset metadata provides persistent links to complementary sibling datasets, multimodal companion packages, or spatial/temporal extensions within the same study (i.e., related datasets).","Peer or companion datasets (e.g., co-located sensor data, raw media companion packages) are linked via typed relationship PIDs (e.g., isSupplementTo, hasPart).",Companion datasets are referenced informally in narrative text without structured relationship types or resolvable PIDs.,Known complementary or sibling datasets from the study are omitted entirely.,"Dataset is fully self-contained with no external companion, sibling, or extension datasets.",Findable | Reusable,Scientific | Provenance,General Information,References,dataset/project;dataset/series,"relatedIdentifiers/relatedIdentifier[@relationType=""References""]",sc:isPartOf,sc:isPartOf,croissant-native,"proposed definition generated by Claude

e.g., derived from or uses

Use-case: knowledge web/ontology - should be auto-generated as datasets using/building on the data compared to the original source

Sourced from the Imageomics dataset card checklist."
Downstream Literature Citations,"Dataset metadata or landing page tracks downstream publications that utilize, benchmark, or cite the dataset.","Downstream publications are indexed via structured machine-readable citation links (e.g., DataCite IsCitedBy).","Downstream papers are listed in static, unstructured text or an informal bibliography.",Known downstream literature citations are untracked or omitted.,Dataset is newly published and has no downstream citations to date.,Findable | Reusable,Scientific | Provenance,General Information,References,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsCitedBy""]",sc:citation,sc:citation,croissant-partial,"proposed definition generated by Claude

This also has a HF key linkage on the side panel, though I'm not sure that's where this originally came from

Use-case: knowledge web/ontology - should be auto-generated as papers citing the data compared to one describing it (e.g., dataset descriptor)

Sourced from the Imageomics dataset card checklist."
