Item,Proposed definition,Criteria: Structural/Scientific/Provenance,Broad categories,Sub category,Note,"Required (core, auto, or recommended)",Use-case scope (Condition),use case,Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,FAIR4AI category
Author ORCID,"The Open Researcher and Contributor Identificaton (ORCID) for the author. The ORCID is a unique, persistent identifier that is free of charge to researchers. https://info.orcid.org/what-is-orcid/",Provenance,Provenance,"citation for ""this dataset""","Wouldn't apply if a device, organization or system.",recommended,All use cases,,dataset,"dataset/methods/methodStep/dataSource/creator/userId[@directory=""orcid""]","creators/creator/nameIdentifier[@nameIdentifierScheme=""ORCID""]",sc:creator/sc:sameAs,sc:creator/sc:sameAs,croissant-native,Findable | Reusable
Curated by,"The entity (person, organization, device, or system) who curates, researces, and manages the dataset.",Provenance,Provenance,"citation for ""this dataset""",This has overlap with the author. Need to describe how the author and the curator are different.  Would we want an ORCID for this person as well?,recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,Reusable
Dataset Card Author(s),"The author (person, organization) of the dataset's card. The person that has compiled the structured, human-readable summary of the dataset.",Provenance,Provenance,"citation for ""this dataset""",,recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,Reusable
Dataset Card Contact,Contact information for the dataset card author(s).,Provenance,Provenance,"citation for ""this dataset""",,recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-native,Reusable
Expert Contact,"Contact for a domain expert on the data, who may differ from the dataset-card author. Ref: schema.org sc:contactPoint; DataCite contributor[ContactPerson]; EML methods/methodStep/dataSource/contact.",Provenance,Provenance,"citation for ""this dataset""","proposed definition generated by Claude


This may not match the person who wrote the dataset card",core,All - esp. specialized domains,,dataset,dataset/methods/methodStep/dataSource/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-partial,Reusable
Data Citation,"citation for this dataset (bibtex, APA, etc.)",Provenance,Provenance,"citation for ""this dataset""",,recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/alternateIdentifier,identifier,sc:identifier,sc:identifier,croissant-partial,Findable | Reusable
Provenance Tracking,"Link(s) to the source dataset(s) from which this dataset is derived, establishing traceability. Authority: DataCite relatedIdentifiers[IsDerivedFrom] for sources with a DOI; relatedItems[IsDerivedFrom] for sources without one. Also schema.org sc:isBasedOn; Croissant cr:source; PROV-O.",Provenance,Provenance,Derived dataset?,"proposed definition generated by Claude


link(s) to source dataset(s) from which this one is derived
Getting at the traceability checkbox",core,Derived/compiled datasets,,dataset,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-native,Reusable | Findable
Source Data Producers,The people/organizations who produced the original source dataset(s). Ref: schema.org sc:isBasedOn/sc:creator; Croissant cr:source; DataCite contributor[DataCollector].,Provenance,Provenance,Derived dataset?,"proposed definition generated by Claude


Who made the original dataset(s)",core,Derived/compiled datasets,,dataset,dataset/methods/methodStep/dataSource/creator,"contributors/contributor[@contributorType=""DataCollector""]",sc:isBasedOn/sc:creator,cr:source,croissant-native,Reusable
citation of subsumed datasets,"Full citation(s) for the original dataset(s) incorporated into this one. Authoritative mechanism: DataCite relatedItems[relationType=IsDerivedFrom, relatedItemType=Dataset] -- embeds title/creators/year inline for sources WITHOUT a DOI -- or relatedIdentifiers[IsDerivedFrom] when a DOI exists. Also EML dataset/literatureCited; schema.org sc:isBasedOn; Croissant cr:source. Precedent: GBIF derived-dataset DOIs.",Provenance,Provenance,Derived dataset?,"proposed definition generated by Claude


Citation (bibtex) for original dataset(s)",core,Derived/compiled datasets,,dataset,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-partial,Reusable | Findable
Source data DOI,Digital object identifier (DOI) for the source dataset used to derive this dataset.,Provenance,Provenance,Derived dataset?,DOI for original dataset(s),core,Derived/compiled datasets,,dataset,dataset/methods/methodStep/dataSource/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source/cr:fileObject,croissant-native,Findable | Reusable
Source data checksums,"Checksums (e.g., SHA-256) of the source data package or its constituent files, for integrity verification of derived datasets. Ref: Croissant cr:FileObject/sc:sha256; EML physical/authentication.",Provenance/Structural,Provenance,Derived dataset?,Could be full zip/package or constituent pieces,core,Derived/compiled datasets,,dataset,dataset/[entityType]/physical/authentication,,,cr:FileObject/sc:sha256,croissant-partial,Reusable
DOI (of dataset),The persistent digital object identifier (DOI) for this dataset. Ref: schema.org sc:identifier; DataCite identifier; EML alternateIdentifier.,Provenance/Structural,Provenance,Identifier,"DOI for this dataset. GM: Shouldn't the DOI for this dataset be listed under General Information, or similar (or not as part of Provenance metadata anyways)? [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]",core,All use cases,,dataset,dataset/methods/methodStep/dataSource/distribution/online/url,identifier,sc:identifier,sc:identifier,croissant-native,Findable
"checksums (of full, images, etc.)","Checksums (e.g., SHA-256) for the full dataset and/or its components (e.g., image archives). Ref: Croissant cr:FileObject/sc:sha256; EML physical/authentication.",Provenance/Structural,Provenance,Identifier,,recommended,All use cases,,dataset,dataset/methods/methodStep/dataSource/[entityType]/physical/authentication,,,cr:FileObject/sc:sha256,croissant-native,Reusable
Processing platform/software,,Provenance/Structural,Provenance,Processing platform/software,[Claude Code inferred: items = Processing platform/software (was blank)],core,Processed/derived data,,dataset,dataset/methods/methodStep/dataSource/methods/methodStep/software,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,Reusable
Storage Conditions,The origin point of already generated data and details about its movement and location of storage,Provenance/Structural,Provenance/Ethical + CARE?,,"From IEEE CARE: The origin point of already generated data and details about its movement and location of storage
over time.",core,Governed/CARE; physical specimens,,dataset,,,,,oos->extension,Reusable
Permission to take observations,"Whether permission was granted to collect the tangible object, material, or resource, or the intangible knowledges or information.",Provenance,,Governance,"From IEEE CARE:  Whether permission was granted to collect the tangible object, material, or resource, or the intangible knowledges or information. ",core,Governed/CARE; Indigenous/community data,,dataset,,,,,oos->extension,Reusable
Agent granting permission to take observations,"Who granted the permission to collect the tangible object, material, or resource, or the intangible knowledges or information. ",Provenance,Ethical + CARE,Governance,"From IEEE CARE:  Who granted the permission to collect the tangible object, material, or resource, or the intangible knowledges or information. ",core,Governed/CARE; Indigenous/community data,,dataset,,,,,oos->extension,Reusable
People stewarding observations,"The Indigenous Peoples to whom the tangible object, material, or resource, or the intangible",Provenance,,Governance,"From IEEE CARE: The Indigenous Peoples to whom the tangible object, material, or resource, or the intangible
knowledges or information was generated, produced, or collected.",core,Governed/CARE; Indigenous/community data,,dataset,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,oos->extension,Reusable
Timestamp of observation,When the resource or knowledge was collected/observed. Ref: schema.org sc:temporalCoverage; EML coverage/temporalCoverage; DataCite date[Collected]; dwc:eventDate.,Provenance/Scientific,,Collection,"proposed definition generated by Claude


From IEEE CARE: When the tangible object, material, or resource, or the intangible knowledges or information was collected. ",core,All - esp. Governed/CARE & Time-series,,event; occurrence,dataset/coverage/temporalCoverage,"dates/date[@dateType=""Collected""]",sc:temporalCoverage,sc:temporalCoverage,croissant-partial,Findable | Reusable
Action and timestamp taken towards observation,"The messages, operations, actors, preferences, and context that led to a given data point (CARE provenance). Ref: IEEE CARE; EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Provenance,,Collection,"From IEEE CARE: Messages, operations, actors, preferences, and context that led to that piece of data. ",core,Governed/CARE; provenance graphs,,event; occurrence,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->extension,Reusable
